Response,Predictor,β_(K_per_%),Std_Err,t_value,p_value,n,model_R2,model_adj_R2
ΔLST,Impervious,0.18839406344196663,0.0704984302275155,2.6723157215554076,0.009578047995248818,70,0.227,0.1534
ΔLST,Vegetation,-0.04460067585045813,0.10200673435332736,-0.4372326605023142,0.663437786634625,70,0.227,0.1534
ΔLST,Cropland,-0.2071612426034301,0.09866841568046678,-2.099569970539635,0.0397782759889651,70,0.227,0.1534
ΔLST,Water,-0.0881242374157937,0.27508308490395317,-0.3203549845551673,0.7497593884700382,70,0.227,0.1534
ΔLST,Bare,0.1514920924277158,0.13901936564077896,1.0897193475847524,0.2799875073301412,70,0.227,0.1534
ΔLST,area_ratio,-0.013405705719849503,0.07885710308678351,-0.169999977111717,0.8655548943091875,70,0.227,0.1534
ΔLST,perimeter_area_ratio,-0.1592366471773221,0.12142850868249566,-1.3113613014360985,0.19449507833742946,70,0.227,0.1534
ΔLST_Max,Impervious,0.29891568162181437,0.09327433213825997,3.2046938827579434,0.0021232223873167413,70,0.2285,0.155
ΔLST_Max,Vegetation,-0.08807296457256303,0.13496201248319373,-0.6525759578720746,0.5164038883239204,70,0.2285,0.155
ΔLST_Max,Cropland,-0.10216188178499597,0.13054518442516666,-0.7825787081679673,0.4368062836114742,70,0.2285,0.155
ΔLST_Max,Water,-0.38237080274286644,0.36395407591549633,-1.0506017875498286,0.29745490951917386,70,0.2285,0.155
ΔLST_Max,Bare,0.2736899674786099,0.18393230094032978,1.4879929521862436,0.1417413433558878,70,0.2285,0.155
ΔLST_Max,area_ratio,-0.05445130797795139,0.10433343836224686,-0.5218969951790129,0.6035722188726149,70,0.2285,0.155
ΔLST_Max,perimeter_area_ratio,-0.23503025092701718,0.16065837229782867,-1.4629194082168206,0.14846073516803218,70,0.2285,0.155
ΔLST_Max10,Impervious,0.30052541406757766,0.09274377429014279,3.240383695485626,0.0019082222066149064,70,0.2288,0.1553
ΔLST_Max10,Vegetation,-0.0768614374961153,0.13419432909936088,-0.5727621875824958,0.5688443428368282,70,0.2288,0.1553
ΔLST_Max10,Cropland,-0.10216441946092913,0.12980262459608088,-0.787075144118571,0.43418888819770707,70,0.2288,0.1553
ΔLST_Max10,Water,-0.4036824466995198,0.361883852662169,-1.115502788339029,0.26887203191762765,70,0.2288,0.1553
ΔLST_Max10,Bare,0.2821828895889852,0.18288606749594025,1.5429436121220614,0.1278530007787096,70,0.2288,0.1553
ΔLST_Max10,area_ratio,-0.047640627378194564,0.10373997472358915,-0.4592311450347953,0.647648843208448,70,0.2288,0.1553
ΔLST_Max10,perimeter_area_ratio,-0.23000767863008464,0.15974452431484878,-1.4398470283510347,0.1548615530396741,70,0.2288,0.1553
