city,year,own_area_km2,ghsl_urban_centre_area_km2,area_ratio,perimeter_area_ratio,reliable
Athens,2000,38.98812574261648,374.541952,0.10409548392222959,5.98338921387228,true
Athens,2005,38.98812574261648,374.541952,0.10409548392222959,5.98338921387228,true
Athens,2010,38.98812574261648,377.684723,0.10322928985035087,5.98338921387228,true
Athens,2015,38.98812574261648,377.684723,0.10322928985035087,5.98338921387228,true
Athens,2020,38.98812574261648,383.98315875,0.10153603056325836,5.98338921387228,true
Brasília,2000,5761.51911834171,-1,-1,5.040385451079174,true
Brasília,2005,5761.51911834171,-1,-1,5.040385451079174,true
Brasília,2010,5761.51911834171,-1,-1,5.040385451079174,true
Brasília,2015,5761.51911834171,-1,-1,5.040385451079174,true
Brasília,2020,5761.51911834171,-1,-1,5.040385451079174,true
Dhaka,2000,1475.5611041999769,240.25486525,6.141649213490701,8.50976547565316,true
Dhaka,2005,1475.5611041999769,243.894291,6.0500026390530675,8.50976547565316,true
Dhaka,2010,1475.5611041999769,269.36678175,5.477888159088039,8.50976547565316,true
Dhaka,2015,1475.5611041999769,298.47721875,4.9436305738157005,8.50976547565316,true
Dhaka,2020,1475.5611041999769,320.318712,4.606540451498746,8.50976547565316,true
Riyadh,2000,8516.67694776753,683.936437,12.452439272171034,5.934336653489386,true
Riyadh,2005,8516.67694776753,694.79442425,12.25783721128866,5.934336653489386,true
Riyadh,2010,8516.67694776753,752.729127,11.314398024838928,5.934336653489386,true
Riyadh,2015,8516.67694776753,821.48602775,10.367403291196794,5.934336653489386,true
Riyadh,2020,8516.67694776753,958.9830775,8.880946022499057,5.934336653489386,true
Warsaw,2000,517.1780722541495,282.297341,1.8320330982293929,5.929649602517925,true
Warsaw,2005,517.1780722541495,304.391219,1.6990571342800447,5.929649602517925,true
Warsaw,2010,517.1780722541495,323.987169,1.596291834181092,5.929649602517925,true
Warsaw,2015,517.1780722541495,341.194332,1.515787408373916,5.929649602517925,true
Warsaw,2020,517.1780722541495,360.89345775,1.4330491760047692,5.929649602517925,true
Nairobi,2000,695.4920662363359,329.6986575,2.1094780048849175,7.128733126290731,true
Nairobi,2005,695.4920662363359,337.64337,2.059842212321053,7.128733126290731,true
Nairobi,2010,695.4920662363359,393.25628125,1.7685466180620246,7.128733126290731,true
Nairobi,2015,695.4920662363359,429.00657475,1.6211687819507847,7.128733126290731,true
Nairobi,2020,695.4920662363359,484.61944625,1.435130330856664,7.128733126290731,true
Hà Nội,2000,3353.668846462538,349.267952,9.601994191733166,8.268789131243192,true
Hà Nội,2005,3353.668846462538,482.9926325,6.9435196746247225,8.268789131243192,true
Hà Nội,2010,3353.668846462538,650.19616775,5.157933886426752,8.268789131243192,true
Hà Nội,2015,3353.668846462538,698.52114825,4.801098513430066,8.268789131243192,true
Hà Nội,2020,3353.668846462538,769.131693,4.360331107123598,8.268789131243192,true
Tashkent,2000,636.4016042307272,435.51732725,1.4612543850991573,5.03432442398317,true
Tashkent,2005,636.4016042307272,450.52961925,1.4125632967043316,5.03432442398317,true
Tashkent,2010,636.4016042307272,459.54156825,1.3848618888912172,5.03432442398317,true
Tashkent,2015,636.4016042307272,492.5581935,1.2920333325664741,5.03432442398317,true
Tashkent,2020,636.4016042307272,519.54269125,1.2249264881381916,5.03432442398317,true
Vienna,2000,414.85008265444054,256.14626925,1.619582763665181,6.709189198114706,true
Vienna,2005,414.85008265444054,290.845295,1.426359957634661,6.709189198114706,true
Vienna,2010,414.85008265444054,290.845295,1.426359957634661,6.709189198114706,true
Vienna,2015,414.85008265444054,301.5187865,1.3758681091482854,6.709189198114706,true
Vienna,2020,414.85008265444054,301.5187865,1.3758681091482854,6.709189198114706,true
Berlin,2000,891.1219334982651,641.64501,1.3888083279853842,7.869883986144028,true
Berlin,2005,891.1219334982651,641.64501,1.3888083279853842,7.869883986144028,true
Berlin,2010,891.1219334982651,646.508977,1.3783597215205647,7.869883986144028,true
Berlin,2015,891.1219334982651,648.9439255,1.37318788031134,7.869883986144028,true
Berlin,2020,891.1219334982651,661.123599,1.3478900690372497,7.869883986144028,true
Seoul,2000,606.352085677562,1140.1553675,0.5318153147909133,7.565106027107781,true
Seoul,2005,606.352085677562,1644.97863425,0.36860787918623505,7.565106027107781,true
Seoul,2010,606.352085677562,1790.95031275,0.33856443775177086,7.565106027107781,true
Seoul,2015,606.352085677562,1867.08253675,0.32475912218269104,7.565106027107781,true
Seoul,2020,606.352085677562,2047.4053115,0.29615635080741654,7.565106027107781,true
Delhi,2000,1477.5498248749464,1396.27128625,1.058211136636089,6.048871527368543,true
Delhi,2005,1477.5498248749464,1501.27835275,0.9841944514609243,6.048871527368543,true
Delhi,2010,1477.5498248749464,1553.74941825,0.950957604566071,6.048871527368543,true
Delhi,2015,1477.5498248749464,1704.25459225,0.8669771708957215,6.048871527368543,true
Delhi,2020,1477.5498248749464,1826.740718,0.8088448515521327,6.048871527368543,true
Bangkok,2000,1571.369439479228,1517.7998815,1.035294216735797,7.9284372934059695,true
Bangkok,2005,1571.369439479228,1730.2385025,0.9081808301045063,7.9284372934059695,true
Bangkok,2010,1571.369439479228,2147.30994275,0.731785108518996,7.9284372934059695,true
Bangkok,2015,1571.369439479228,2321.1216125,0.6769871216643234,7.9284372934059695,true
Bangkok,2020,1571.369439479228,2394.49477375,0.6562425847429678,7.9284372934059695,true
Doha,2000,210.18898745415527,180.07813975,1.1672098998021512,16.04771817395211,true
Doha,2005,210.18898745415527,180.07813975,1.1672098998021512,16.04771817395211,true
Doha,2010,210.18898745415527,226.92240325,0.9262593046954047,16.04771817395211,true
Doha,2015,210.18898745415527,280.93897925,0.7481659825748629,16.04771817395211,true
Doha,2020,210.18898745415527,313.362479,0.6707535251983862,16.04771817395211,true
Kyiv,2000,821.7646422651461,316.28902275,2.5981446814696514,8.56457823610925,true
Kyiv,2005,821.7646422651461,334.16803525,2.4591359902222907,8.56457823610925,true
Kyiv,2010,821.7646422651461,362.237502,2.2685796962710563,8.56457823610925,true
Kyiv,2015,821.7646422651461,367.339912,2.2370687622562127,8.56457823610925,true
Kyiv,2020,821.7646422651461,380.1117285,2.1619028844703116,8.56457823610925,true
Bucharest,2000,238.98690864381896,197.0811035,1.212632283864896,6.712244816270448,true
Bucharest,2005,238.98690864381896,205.64687375,1.1621227412109831,6.712244816270448,true
Bucharest,2010,238.98690864381896,211.355366,1.1307349946526504,6.712244816270448,true
Bucharest,2015,238.98690864381896,217.061258,1.1010113497260712,6.712244816270448,true
Bucharest,2020,238.98690864381896,222.7723465,1.07278534521258,6.712244816270448,true
Tbilisi,2000,504.64306239141587,92.4891605,5.456240057356947,6.675599499547222,true
Tbilisi,2005,504.64306239141587,101.42991375,4.975288292517313,6.675599499547222,true
Tbilisi,2010,504.64306239141587,104.413727,4.833110328409366,6.675599499547222,true
