season,year,oni,warm_episode,cool_episode
SON,2014,0.51,True,False
OND,2014,0.7,True,False
NDJ,2014,0.8,True,False
DJF,2015,0.73,True,False
JFM,2015,0.65,True,False
FMA,2015,0.72,True,False
MAM,2015,0.86,True,False
AMJ,2015,1.04,True,False
MJJ,2015,1.19,True,False
JJA,2015,1.44,True,False
JAS,2015,1.73,True,False
ASO,2015,2.02,True,False
SON,2015,2.28,True,False
OND,2015,2.45,True,False
NDJ,2015,2.59,True,False
DJF,2016,2.5,True,False
JFM,2016,2.21,True,False
FMA,2016,1.69,True,False
MAM,2016,1.11,True,False
AMJ,2016,0.57,True,False
MJJ,2016,0.09,False,False
JJA,2016,-0.19,False,False
JAS,2016,-0.34,False,False
ASO,2016,-0.42,False,False
SON,2016,-0.51,False,False
OND,2016,-0.49,False,False
NDJ,2016,-0.37,False,False
DJF,2017,-0.08,False,False
JFM,2017,0.08,False,False
FMA,2017,0.27,False,False
MAM,2017,0.32,False,False
AMJ,2017,0.35,False,False
MJJ,2017,0.32,False,False
JJA,2017,0.14,False,False
JAS,2017,-0.07,False,False
ASO,2017,-0.23,False,False
SON,2017,-0.44,False,False
OND,2017,-0.61,False,True
NDJ,2017,-0.76,False,True
DJF,2018,-0.71,False,True
JFM,2018,-0.67,False,True
FMA,2018,-0.55,False,True
MAM,2018,-0.35,False,False
AMJ,2018,-0.07,False,False
MJJ,2018,0.13,False,False
JJA,2018,0.2,False,False
JAS,2018,0.3,False,False
ASO,2018,0.52,True,False
SON,2018,0.82,True,False
OND,2018,1.04,True,False
NDJ,2018,1.05,True,False
DJF,2019,0.99,True,False
JFM,2019,0.94,True,False
FMA,2019,0.87,True,False
MAM,2019,0.82,True,False
AMJ,2019,0.71,True,False
MJJ,2019,0.59,True,False
JJA,2019,0.38,False,False
JAS,2019,0.2,False,False
ASO,2019,0.31,False,False
SON,2019,0.51,True,False
OND,2019,0.72,True,False
NDJ,2019,0.75,True,False
DJF,2020,0.71,True,False
JFM,2020,0.66,True,False
FMA,2020,0.57,True,False
MAM,2020,0.33,False,False
AMJ,2020,0.04,False,False
MJJ,2020,-0.18,False,False
JJA,2020,-0.29,False,False
JAS,2020,-0.43,False,False
ASO,2020,-0.77,False,False
SON,2020,-1.0,False,False
OND,2020,-1.11,False,False
NDJ,2020,-1.06,False,False
